name,description,ring,quadrant,Team,Count,isNew
Personas,Ask UX/design about user testing,Assess,Technique,Bash,1,TRUE
Remove Operator CSS Overrides,Easier to work with CSS,Assess,Technique,Bash,1,TRUE
Open Source,"Doing it, not just using it",Assess,Technique,Bash,1,TRUE
Conway's Law,,Assess,Technique,Bash,1,TRUE
Component Library,,Assess,Technique,Bash,1,TRUE
Evolving Architecture,,Assess,Technique,Bash,1,TRUE
Cross-functional Teams,,Assess,Technique,Bash,1,TRUE
Value Slice Ownership,,Assess,Technique,Bash,1,TRUE
Mob Programming,,Trial,Technique,Bash,1,TRUE
A/B Testing,,Trial,Technique,Bash,1,TRUE
Functional Programming,,Trial,Technique,Bash,1,TRUE
TDD,,Trial,Technique,Bash,1,TRUE
Continuous Delivery,Every story ready to release,Trial,Technique,Bash,1,TRUE
Similar Test and Prod Envs,,Trial,Technique,Bash,1,TRUE
Clean Out Old Stuff,"Handlebars, Backbone",Trial,Technique,Bash,1,TRUE
Perceived Performance,,Trial,Technique,Bash,1,TRUE
Guilds/Tribes,"CoPFE exists, others?",Trial,Technique,Bash,1,TRUE
Everyday Integration Tests,"Part of daily process, build on existing Cypress tests",Trial,Technique,Bash,1,TRUE
Exploratory Testing,,Adopt,Technique,Bash,1,TRUE
Secure by Default,,Adopt,Technique,Bash,1,TRUE
DevOps Culture,,Adopt,Technique,Bash,1,TRUE
Reason ML,,Assess,Language,Bash,1,TRUE
Redux-first-router,https://github.com/faceyspacey/redux-first-router use Redux as is while keeping the address bar in sync. State is the single source of truth.,Assess,Language,Bash,1,TRUE
Vue,,Assess,Language,Bash,1,TRUE
React Hooks,,Assess,Language,Bash,1,TRUE
Mob X,,Assess,Language,Bash,1,TRUE
PopMotion,https://popmotion.io/ animation library,Assess,Language,Bash,1,TRUE
react-spring,A spring physics based React animation library,Assess,Language,Bash,1,TRUE
Ramda,,Assess,Language,Bash,1,TRUE
Web components,,Assess,Language,Bash,1,TRUE
Emotion,https://emotion.sh CSS in JS,Assess,Language,Bash,1,TRUE
Immer js,Create the next immutable state by mutating the current one,Assess,Language,Bash,1,TRUE
Linaria,Css in js compile time,Assess,Language,Bash,1,TRUE
Styled components,https://www.styled-components.com/ CSS in JS,Assess,Language,Bash,1,TRUE
Feather js,Node framework (offline first),Assess,Language,Bash,1,TRUE
MDX,Jsx in MD,Assess,Language,Bash,1,TRUE
Cypress,,Trial,Language,Bash,1,TRUE
Jsdoc,Strict typing,Trial,Language,Bash,1,TRUE
Redux,,Trial,Language,Bash,1,TRUE
GraphQL,,Trial,Language,Bash,1,TRUE
VigorJs,,Adopt,Language,Bash,1,TRUE
React,,Adopt,Language,Bash,1,TRUE
Haskel,,Hold,Language,Bash,1,TRUE
Jquery,,Hold,Language,Bash,1,TRUE
Backbone,,Hold,Language,Bash,1,TRUE
